['HIP1R'],[[1.11189848]],[[0.46533462]],[[0.41082421]],[[0.4484833]],[[0.48053064]],[[0.48333934]],[[0.62982149]],[[0.789463]],[[1.0196181]],[[0.95777273]],[[0.89722048]],[[0.97698676]],[[0.82679186]]
['PLXNA3'],[[1.05342811]],[[0.32771855]],[[0.30661939]],[[0.42013355]],[[0.33106703]],[[0.39026659]],[[0.56029416]],[[0.68421841]],[[0.91263136]],[[0.83190126]],[[0.98025617]],[[1.12868807]],[[0.97081249]]
['HABP4'],[[0.97302806]],[[0.38005977]],[[0.47974399]],[[0.42406119]],[[0.43545359]],[[0.52246193]],[[0.52179507]],[[0.71597045]],[[0.92600706]],[[1.04524045]],[[0.91918337]],[[1.07616006]],[[0.95014661]]
['AKAP12'],[[1.03552547]],[[0.32568124]],[[0.49409654]],[[0.33031892]],[[0.34121748]],[[0.29029339]],[[0.32026774]],[[0.7687444]],[[0.97670998]],[[1.36339732]],[[1.54702334]],[[1.55106892]],[[1.52235957]]
['GGT7'],[[1.00167353]],[[0.44099274]],[[0.49096108]],[[0.48675346]],[[0.43893116]],[[0.54414408]],[[0.76231339]],[[0.76874452]],[[1.02785842]],[[0.93516189]],[[0.98508808]],[[1.09142435]],[[0.99144438]]
['TMEM204'],[[1.09727293]],[[0.34647217]],[[0.37890208]],[[0.39720491]],[[0.48365136]],[[0.45787583]],[[0.61386221]],[[0.71025475]],[[0.95645988]],[[0.99785588]],[[0.90621334]],[[1.08342652]],[[0.94976511]]
['CLUHP3'],[[1.06322119]],[[0.54757947]],[[0.48173274]],[[0.37129713]],[[0.48850293]],[[0.48232404]],[[0.6044411]],[[0.70315621]],[[0.95241984]],[[0.87371366]],[[1.1457127]],[[1.37862019]],[[1.0703761]]
['RHPN2'],[[0.65998542]],[[0.28809101]],[[0.5609828]],[[0.30478868]],[[0.59674867]],[[0.32971854]],[[0.36327622]],[[0.8832639]],[[1.18703125]],[[0.57249457]],[[0.56067088]],[[0.70423627]],[[0.63911729]]
['TRIM47'],[[0.72750561]],[[0.16592863]],[[0.39453546]],[[0.14245439]],[[0.3966235]],[[0.29461792]],[[0.61010198]],[[0.5668305]],[[0.82107991]],[[0.62033722]],[[0.76520333]],[[1.03359906]],[[0.85427985]]
['PATJ'],[[0.93856981]],[[0.41177667]],[[0.45911872]],[[0.47703872]],[[0.36512766]],[[0.34739203]],[[0.52185219]],[[0.77092175]],[[0.82558138]],[[0.81212449]],[[0.79597489]],[[0.90282857]],[[0.83739326]]
['ATP8A2'],[[0.85251675]],[[0.54642845]],[[0.51507321]],[[0.37189011]],[[0.19195018]],[[0.36210277]],[[0.63856454]],[[0.89544466]],[[0.82249906]],[[0.94453906]],[[0.89696096]],[[0.93041568]],[[0.86763986]]
