['ZNF831'],[[1.23194492]],[[0.79162198]],[[0.72785844]],[[0.56003455]],[[0.88269627]],[[0.62884707]],[[0.83231705]],[[0.86653379]],[[1.21440312]],[[1.1350109]],[[1.35552857]],[[1.39558685]],[[1.27200149]]
['PAIP2B'],[[1.03862895]],[[0.5315302]],[[0.62750432]],[[0.40936064]],[[0.68051977]],[[0.8926402]],[[0.59940635]],[[0.71453633]],[[1.06091434]],[[1.02073478]],[[1.22628039]],[[1.46394751]],[[1.31762692]]
['HIST1H1A'],[[1.86654895]],[[1.89127725]],[[1.90544604]],[[1.78650948]],[[0.28261241]],[[0.71583012]],[[1.09668454]],[[0.4694416]],[[0.35328582]],[[0.75491054]],[[0.51884075]],[[1.08539476]],[[0.40901329]]
['RPP40'],[[1.50841814]],[[1.34041064]],[[1.20647831]],[[0.56410969]],[[0.5411825]],[[0.85042711]],[[1.47461934]],[[1.13867767]],[[1.03079134]],[[1.07378824]],[[1.29907549]],[[1.46103379]],[[1.05347232]]
['MYRF'],[[1.35712435]],[[0.6467267]],[[0.422631]],[[0.27469988]],[[0.18781694]],[[0.37763795]],[[0.52279247]],[[0.64738249]],[[0.25571933]],[[0.78788804]],[[1.35907534]],[[1.1147018]],[[1.14556487]]
['CLYBL'],[[1.23709071]],[[0.83349864]],[[0.72584441]],[[0.54989177]],[[0.46242803]],[[0.8149467]],[[0.78624548]],[[0.86057503]],[[1.04879914]],[[0.85088181]],[[1.2412221]],[[1.34715902]],[[1.18041054]]
['TMEM255A'],[[1.12069914]],[[0.76109658]],[[0.76906574]],[[0.77118481]],[[0.77842927]],[[0.13597487]],[[0.33658049]],[[0.60188196]],[[0.58810978]],[[0.539347]],[[0.84721278]],[[0.51754943]],[[1.25504797]]
['C1orf61'],[[0]],[[0.51611692]],[[0.52196754]],[[0.46757167]],[[0.43657623]],[[0.27993795]],[[0.46418965]],[[0.40106018]],[[0.88759981]],[[0.72664615]],[[0.58970357]],[[0.83117698]],[[1.06529057]]
['SH2D3A'],[[1.08456789]],[[0.74089979]],[[0.66103454]],[[0.6241523]],[[0.55547945]],[[0.49448497]],[[0.91502216]],[[0.76487626]],[[1.18590492]],[[1.02274895]],[[1.08349809]],[[1.20664566]],[[1.13491496]]
['AMOT'],[[1.07953182]],[[0.6457085]],[[0.70790888]],[[0.46757172]],[[0.64520069]],[[0.68012299]],[[0.91804432]],[[1.03672688]],[[1.13372271]],[[1.0092573]],[[1.36115788]],[[1.29058462]],[[1.10590765]]
